smiles,column_type,ph,percent_b_start,percent_b_end,gradient_time_min,flow_ml_min,temperature_c,observed_rt_s
CC(=O)Oc1ccccc1C(=O)O,C18,2.7,5,95,20,0.4,40,420
CCO,C18,2.7,5,95,20,0.4,40,180
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,C18,2.7,5,95,20,0.4,40,360
c1ccccc1,C18,2.7,5,95,20,0.4,40,540
OC(=O)Cc1ccccc1,C18,2.7,5,95,20,0.4,40,300
CC(C)Cc1ccc(cc1)C(C)C(=O)O,C18,2.7,5,95,20,0.4,40,720
CC(C)C1=C(C(=CC=C1)C(=O)O)C(=O)O,C18,2.7,5,95,20,0.4,40,480
Oc1ccc(cc1)C(=O)O,C18,2.7,5,95,20,0.4,40,280
CC(=O)NC1=CC=C(O)C=C1,C18,2.7,5,95,20,0.4,40,380
CN(C)CCC=C1ccccc1,C18,2.7,5,95,20,0.4,40,660
